Doc_name	Precision	Recall
CACM-1976	0.0	0.0
CACM-2452	0.5	0.038
CACM-2816	0.667	0.077
CACM-2969	0.75	0.115
CACM-2765	0.8	0.154
CACM-2926	0.667	0.154
CACM-2988	0.571	0.154
CACM-2114	0.5	0.154
CACM-2957	0.444	0.154
CACM-1412	0.4	0.154
CACM-2318	0.364	0.154
CACM-2631	0.333	0.154
CACM-1194	0.308	0.154
CACM-2359	0.357	0.192
CACM-2949	0.333	0.192
CACM-2437	0.312	0.192
CACM-3002	0.353	0.231
CACM-2375	0.333	0.231
CACM-1267	0.316	0.231
CACM-0397	0.3	0.231
CACM-2812	0.286	0.231
CACM-2978	0.273	0.231
CACM-1652	0.261	0.231
CACM-3181	0.25	0.231
CACM-1519	0.24	0.231
CACM-3136	0.231	0.231
CACM-1680	0.222	0.231
CACM-1226	0.214	0.231
CACM-1534	0.207	0.231
CACM-3012	0.2	0.231
CACM-2951	0.194	0.231
CACM-3089	0.188	0.231
CACM-3137	0.212	0.269
CACM-3070	0.206	0.269
CACM-0696	0.2	0.269
CACM-1908	0.194	0.269
CACM-3134	0.189	0.269
CACM-2493	0.211	0.308
CACM-3058	0.231	0.346
CACM-3129	0.25	0.385
CACM-1032	0.244	0.385
CACM-2526	0.238	0.385
CACM-2140	0.256	0.423
CACM-2860	0.25	0.423
CACM-1066	0.244	0.423
CACM-2680	0.261	0.462
CACM-2593	0.255	0.462
CACM-2984	0.25	0.462
CACM-2669	0.265	0.5
CACM-0409	0.26	0.5
CACM-3028	0.255	0.5
CACM-2862	0.25	0.5
CACM-1456	0.245	0.5
CACM-2542	0.241	0.5
CACM-1271	0.236	0.5
CACM-2991	0.232	0.5
CACM-3103	0.228	0.5
CACM-3017	0.224	0.5
CACM-2849	0.22	0.5
CACM-2484	0.217	0.5
CACM-3090	0.213	0.5
CACM-2064	0.21	0.5
CACM-2307	0.206	0.5
CACM-2634	0.203	0.5
CACM-1745	0.2	0.5
CACM-1700	0.197	0.5
CACM-2750	0.194	0.5
CACM-2253	0.191	0.5
CACM-1765	0.188	0.5
CACM-2976	0.186	0.5
CACM-3059	0.183	0.5
CACM-2979	0.181	0.5
CACM-1695	0.178	0.5
CACM-3152	0.189	0.538
CACM-3128	0.187	0.538
CACM-1699	0.184	0.538
CACM-2859	0.182	0.538
CACM-2319	0.179	0.538
CACM-2716	0.19	0.577
CACM-2892	0.188	0.577
CACM-2451	0.185	0.577
CACM-2876	0.183	0.577
CACM-3082	0.181	0.577
CACM-3011	0.179	0.577
CACM-2258	0.176	0.577
CACM-2406	0.174	0.577
CACM-1916	0.172	0.577
CACM-1651	0.17	0.577
CACM-2977	0.169	0.577
CACM-2900	0.178	0.615
CACM-3063	0.176	0.615
CACM-1272	0.174	0.615
CACM-1653	0.172	0.615
CACM-2516	0.17	0.615
CACM-2390	0.168	0.615
CACM-1033	0.167	0.615
CACM-2370	0.165	0.615
CACM-2288	0.163	0.615
CACM-1515	0.162	0.615
CACM-0462	0.16	0.615
