Doc_name	Precision	Recall
CACM-2956	1.0		0.1
CACM-2705	0.5		0.1
CACM-1588	0.333		0.1
CACM-2265	0.5		0.2
CACM-1485	0.4		0.2
CACM-2316	0.333		0.2
CACM-2254	0.286		0.2
CACM-1098	0.25		0.2
CACM-2406	0.222		0.2
CACM-1459	0.2		0.2
CACM-3105	0.182		0.2
CACM-1923	0.167		0.2
CACM-1470	0.154		0.2
CACM-2295	0.143		0.2
CACM-2940	0.2		0.3
CACM-3198	0.188		0.3
CACM-2051	0.176		0.3
CACM-1457	0.167		0.3
CACM-1852	0.158		0.3
CACM-1703	0.15		0.3
CACM-1678	0.143		0.3
CACM-1835	0.136		0.3
CACM-1366	0.13		0.3
CACM-2603	0.125		0.3
CACM-2470	0.12		0.3
CACM-2931	0.115		0.3
CACM-2699	0.111		0.3
CACM-2305	0.107		0.3
CACM-2078	0.103		0.3
CACM-0628	0.1		0.3
CACM-2198	0.097		0.3
CACM-1456	0.094		0.3
CACM-2941	0.121		0.4
CACM-2651	0.147		0.5
CACM-0265	0.143		0.5
CACM-1135	0.139		0.5
CACM-2939	0.162		0.6
CACM-2710	0.158		0.6
CACM-1902	0.154		0.6
CACM-2645	0.15		0.6
CACM-2647	0.146		0.6
CACM-1282	0.143		0.6
CACM-3148	0.14		0.6
CACM-1769	0.136		0.6
CACM-2148	0.156		0.7
CACM-2717	0.152		0.7
CACM-2003	0.149		0.7
CACM-1911	0.146		0.7
CACM-2084	0.143		0.7
CACM-1309	0.14		0.7
CACM-3150	0.137		0.7
CACM-2317	0.135		0.7
CACM-2957	0.132		0.7
CACM-2873	0.13		0.7
CACM-3185	0.127		0.7
CACM-2081	0.125		0.7
CACM-1035	0.123		0.7
CACM-2814	0.121		0.7
CACM-2886	0.119		0.7
CACM-3077	0.117		0.7
CACM-0651	0.115		0.7
CACM-1466	0.113		0.7
CACM-1162	0.111		0.7
CACM-2314	0.109		0.7
CACM-2002	0.108		0.7
CACM-2264	0.106		0.7
CACM-2201	0.104		0.7
CACM-2782	0.103		0.7
CACM-2036	0.101		0.7
CACM-3102	0.1		0.7
CACM-1710	0.099		0.7
CACM-0920	0.097		0.7
CACM-1324	0.096		0.7
CACM-1163	0.095		0.7
CACM-2947	0.093		0.7
CACM-2767	0.092		0.7
CACM-2514	0.091		0.7
CACM-1142	0.09		0.7
CACM-1937	0.089		0.7
CACM-1469	0.087		0.7
CACM-2661	0.086		0.7
CACM-2252	0.085		0.7
CACM-2411	0.084		0.7
CACM-1253	0.083		0.7
CACM-2652	0.082		0.7
CACM-2034	0.081		0.7
CACM-2921	0.08		0.7
CACM-2267	0.08		0.7
CACM-1738	0.079		0.7
CACM-0303	0.078		0.7
CACM-2876	0.077		0.7
CACM-1861	0.076		0.7
CACM-0689	0.075		0.7
CACM-1350	0.074		0.7
CACM-2253	0.074		0.7
CACM-2580	0.073		0.7
CACM-2906	0.072		0.7
CACM-3030	0.071		0.7
CACM-2112	0.071		0.7
CACM-2644	0.07		0.7
